cue_id,section_name,line_text,estimated_duration_sec,source_file,source_timecode,evidence_confidence
1,hook,箱もある、状態もいい。,2.0,,--:--,medium
2,hook,でも、付属品が全部揃っているか自信がなくて——,4.2,,--:--,unconfirmed
3,hook,そのままになっていませんか？,2.5,,--:--,unconfirmed
4,pain,知識がないまま聞くのは、気まずいかも。,3.5,,--:--,unconfirmed
5,pain,そう感じて、迷ったままになっていませんか？,3.8,,--:--,unconfirmed
6,shift,でも、本体の状態がよければ十分——,3.1,,--:--,unconfirmed
7,shift,そこだけで決まるわけでもないんです。,3.3,,--:--,unconfirmed
8,proof,この映像では、箱と保存袋、,2.4,,--:--,high
9,proof,鍵、南京錠と、付属品をひとつずつ見ています。,4.0,,--:--,high
10,benefit_bridge,だから、付属品の差が査定額の差になる理由が分かります。,4.9,,--:--,medium
11,relief,まだ売ると決めなくても、大丈夫ですよ。,3.5,,--:--,unconfirmed
12,cta,相場感だけ知りたい方も、LINEからどうぞ。,4.0,,--:--,unconfirmed
13,cta,写真3枚だけで大丈夫です。,2.4,,--:--,unconfirmed
